Key,Summary,Status,Resolution,Priority,Component,Labels,Assignee,Reporter,Created,Resolved,Time Spent,Story Points
D-SUPPORT-101,Field error when saving custom field on Opportunities,Closed,Code Change,High,Opportunities,Field Error,John Smith,Jane Doe,2025-08-15,2025-08-22,8,3
D-SUPPORT-102,Export fails for large datasets over 10k rows,Closed,Code Change,Critical,Opportunities,Export,Sarah Lee,Mike Chen,2025-08-18,2025-08-25,16,5
D-SUPPORT-103,Filter dropdown not showing all values,Closed,Code Change,High,Opportunities,Filtering,John Smith,Lisa Park,2025-08-20,2025-08-28,6,2
D-SUPPORT-104,Dashboard widget shows wrong aggregation,Closed,Code Change,Medium,Dashboards,Aggregation,Tom Wilson,Jane Doe,2025-08-22,2025-09-01,4,2
D-SUPPORT-105,Duplicate ticket - field error on save,Closed,Duplicate,Low,Opportunities,Field Error,,,2025-08-25,,0,0
D-SUPPORT-106,Cannot reproduce sorting issue,Closed,Not Reproducible,Medium,Opportunities,Sorting,John Smith,Mike Chen,2025-08-27,,2,1
D-SUPPORT-107,Export CSV missing header row,Closed,Code Change,High,Opportunities,Export,Sarah Lee,Lisa Park,2025-09-01,2025-09-08,6,2
D-SUPPORT-108,Need explanation of filter behavior,Closed,Product Explanation,Low,Opportunities,Filtering,,,2025-09-03,,1,0
D-SUPPORT-109,Field validation error on currency fields,Closed,Code Change,High,Opportunities,Field Error,John Smith,Jane Doe,2025-09-05,2025-09-12,10,3
D-SUPPORT-110,Account page loads slowly,Closed,Code Change,Medium,Accounts,Performance,Tom Wilson,Mike Chen,2025-09-08,2025-09-18,12,5
D-SUPPORT-111,Starred deals not syncing across views,Closed,Config Change,Medium,Opportunities,Starred Deals,,,2025-09-10,,2,1
D-SUPPORT-112,Export timeout on Opportunities module,Closed,Code Change,Critical,Opportunities,Export,Sarah Lee,Lisa Park,2025-09-12,2025-09-20,20,8
D-SUPPORT-113,Duplicate - export timeout,Closed,Duplicate,Low,Opportunities,Export,,,2025-09-14,,0,0
D-SUPPORT-114,Filtering by date range returns wrong results,Closed,Code Change,High,Opportunities,Filtering,John Smith,Jane Doe,2025-09-15,2025-09-25,8,3
D-SUPPORT-115,Dashboard chart not refreshing,Closed,Feature Flag Update,Medium,Dashboards,Config,Tom Wilson,Mike Chen,2025-09-18,,1,0
D-SUPPORT-116,Field error on bulk update,Closed,Code Change,High,Opportunities,Field Error,John Smith,Lisa Park,2025-09-20,2025-09-30,14,5
D-SUPPORT-117,Grouping breaks with custom fields,Closed,Code Change,Medium,Opportunities,Grouping,Sarah Lee,Jane Doe,2025-09-22,2025-10-02,6,2
D-SUPPORT-118,Request: add export to PDF,Closed,Feature Request,Low,Opportunities,Export,,,2025-09-25,,0,0
D-SUPPORT-119,Saved views not persisting filters,Closed,Code Change,High,Opportunities,Saved Views,John Smith,Mike Chen,2025-09-28,2025-10-08,8,3
D-SUPPORT-120,Not reproducible - field error intermittent,Closed,Not Reproducible,Medium,Opportunities,Field Error,,,2025-10-01,,2,1
D-SUPPORT-121,Account field mapping incorrect,Closed,Code Change,Medium,Accounts,Field Error,Tom Wilson,Lisa Park,2025-10-03,2025-10-13,6,2
D-SUPPORT-122,Export includes deleted records,Closed,Code Change,High,Opportunities,Export,Sarah Lee,Jane Doe,2025-10-05,2025-10-15,10,3
D-SUPPORT-123,Filter AND/OR logic incorrect,Closed,Code Change,Critical,Opportunities,Filtering,John Smith,Mike Chen,2025-10-08,2025-10-18,16,5
D-SUPPORT-124,Duplicate - filter logic,Closed,Duplicate,Low,Opportunities,Filtering,,,2025-10-10,,0,0
D-SUPPORT-125,Dashboard scope selector not working,Closed,Config Change,Medium,Dashboards,Scope,Tom Wilson,Lisa Park,2025-10-12,,3,1
D-SUPPORT-126,Explain how currency conversion works,Closed,Product Explanation,Low,Opportunities,Currency,,,2025-10-15,,1,0
D-SUPPORT-127,Field error when adding new opportunity,Closed,Code Change,High,Opportunities,Field Error,John Smith,Jane Doe,2025-10-18,2025-10-28,8,3
D-SUPPORT-128,Aggregation totals off by one,Closed,Code Change,Medium,Opportunities,Aggregation,Sarah Lee,Mike Chen,2025-10-20,2025-10-30,4,2
D-SUPPORT-129,Export formatting broken in Excel,Closed,Code Change,High,Opportunities,Export,Sarah Lee,Lisa Park,2025-10-22,2025-11-01,12,5
D-SUPPORT-130,Filtering slow on large datasets,Closed,Code Change,High,Opportunities,Filtering,John Smith,Jane Doe,2025-10-25,2025-11-05,10,3
